tracking_number,ship_date,????,????id,???,???,???
{61290989800521286373},6/18/2020,7/3/2020 2:54,1764,7.41,7.41,7.39
{61290989800521039986},6/2/2020,6/19/2020 2:34,1698,5.7,5.7,5.7
{61290989800520894579},5/18/2020,6/28/2020 3:45,1714,5.7,5.7,5.7
{61290989800521117295},6/12/2020,6/28/2020 3:16,1712,7.36,7.36,8.33
{61290989800520696128},5/11/2020,5/29/2020 5:51,1649,7.65,7.65,7.65
{61290989800520684781},5/11/2020,5/29/2020 5:46,1649,5.7,5.7,5.7
{61290989800520596602},5/3/2020,5/25/2020 7:52,1631,6.88,6.88,7.86
{61290989800520571777},4/30/2020,5/25/2020 7:29,1630,5.72,5.72,5.99
{61290989800521283853},6/18/2020,7/3/2020 2:56,1764,7.01,7.01,7.01
{61290989800520683203},5/11/2020,5/29/2020 5:45,1649,6.78,6.78,7.75
{61290989800521078312},6/8/2020,7/3/2020 2:52,1764,6.19,6.19,6.19
{61290989800521108934},6/11/2020,6/28/2020 3:15,1712,5.85,5.85,5.85
{61290989800520715362},5/13/2020,7/3/2020 2:56,1764,7.36,7.36,6.87
{61290989800520971539},5/25/2020,6/12/2020 4:05,1688,8.34,8.34,8.42
{61290989800520910163},5/19/2020,6/5/2020 1:53,1663,5.7,5.7,5.37
{61290989800521269598},6/16/2020,7/3/2020 3:00,1764,5.6,5.6,5.6
{61290989800520932080},5/21/2020,6/28/2020 3:48,1714,5.37,5.37,5.37
{61290989800520610537},5/4/2020,5/25/2020 7:42,1631,5.7,5.7,5.7
{61290989800521100686},6/10/2020,6/28/2020 2:26,1711,6.19,6.19,6.19
{61290989800521077810},6/8/2020,6/28/2020 2:31,1711,6.75,6.75,6.19
{61290989800521022292},5/30/2020,6/19/2020 2:28,1698,5.7,5.7,5.75
{61290989800520906470},5/19/2020,5/29/2020 6:16,1649,6.88,6.88,6.87
{61290989800520676403},5/9/2020,5/29/2020 5:42,1649,6.27,6.27,6.28
{61290989800520524025},4/26/2020,5/25/2020 7:30,1630,5.62,5.62,5.62
{61290989800521284829},6/18/2020,7/3/2020 2:59,1764,6.01,6.01,5.98
{61290989800520932295},5/21/2020,6/5/2020 2:06,1663,6.73,6.73,5.7
{61290989800520905756},5/19/2020,6/28/2020 3:43,1714,6.84,6.84,6.84
{61290989800520995108},5/27/2020,6/12/2020 4:05,1688,5.7,5.7,5.7
{61290989800520593588},5/2/2020,5/25/2020 7:36,1630,6.58,6.58,7.55
{61290989800520512640},4/24/2020,5/8/2020 0:44,1577,10.57,10.57,5.72
{61290989800520628099},5/5/2020,5/25/2020 7:26,1631,5.7,5.7,5.42
{61290989800520700962},5/12/2020,5/29/2020 5:54,1649,7.18,7.18,7.18
{61290989800520683173},5/11/2020,5/25/2020 7:51,1631,5.37,5.37,5.37
{61290989800520657556},5/7/2020,5/25/2020 7:51,1631,5.7,5.7,5.7
{61290989800520647069},5/6/2020,5/29/2020 5:32,1649,5.37,5.37,5.37
{61290989800521030228},6/1/2020,6/28/2020 3:13,1712,5.85,5.85,5.37
{61290989800520509183},4/24/2020,5/8/2020 0:53,1577,7.1,7.1,7.1
{61290989800521280579},6/17/2020,7/3/2020 5:47,1768,7.61,7.61,7.92
{61290989800520544511},4/28/2020,5/25/2020 7:39,1630,5.38,5.38,5.38
{61290989800520628693},5/5/2020,5/29/2020 5:30,1649,5.7,5.7,5.42
