{61290989800520923392},2020-05-20,2020-06-05,1663,5.37,5.37,5.37
{61290989800521014402},2020-05-29,2020-06-12,1677,5.4,5.4,5.39
{61290989800520628723},2020-05-05,2020-05-25,1630,6.84,6.84,6.90
{61290989800521052503},2020-06-03,2020-06-19,1698,6.84,6.84,7.04
{61290989800520657174},2020-05-07,2020-05-29,1649,6.88,6.88,7.85
{61290989800520659390},2020-05-07,2020-05-25,1631,8.33,8.33,7.65
"{393304007791,393304008916,393304009728,393304011257,393304012070,393304013065,393304013890,393304015399,393304016260,393304018148,393304019453,393304020207,393304021258,393304022839,393304023191,393304024327,393304026363,393304027451,393304028675,393304030366}",2020-05-28,2020-06-28,1711,139.2,139.2,139.08
{61290989800521116373},2020-06-12,2020-06-28,1712,6.19,6.19,6.19
{61290989800521062632},2020-06-05,2020-06-19,1698,5.7,5.7,5.70
{61290989800520524285},2020-04-26,2020-05-25,1630,5.72,5.72,5.72
{61290989800520685184},2020-05-11,2020-05-29,1649,5.7,5.7,5.70
{61290989800520685528},2020-05-11,2020-05-29,1649,6.88,6.88,7.85
{61290989800520889377},2020-05-18,2020-06-28,1714,6.3,5.7,6.27
{61290989800521262223},2020-06-15,2020-07-03,1768,7.57,7.57,6.72
{61290989800520666657},2020-05-08,2020-05-25,1631,5.37,5.37,5.37
{61290989800521267228},2020-06-16,2020-06-28,1712,5.63,5.63,5.62
{61290989800521255300},2020-06-15,2020-06-28,1712,5.89,5.89,5.88
{61290989800521116847},2020-06-12,2020-06-28,1711,6.28,6.28,6.26
{61290989800520660303},2020-05-07,2020-06-05,1663,5.37,5.37,5.37
{61290989800520643634},2020-05-06,2020-05-25,1631,5.37,5.37,5.37
{61290989800521286373},2020-06-18,2020-07-03,1764,7.41,7.41,7.39
{61290989800521039986},2020-06-02,2020-06-19,1698,5.7,5.7,5.70
{61290989800520894579},2020-05-18,2020-06-28,1714,5.7,5.7,5.70
{61290989800521117295},2020-06-12,2020-06-28,1712,7.36,7.36,8.33
{61290989800520696128},2020-05-11,2020-05-29,1649,7.65,7.65,7.65
{61290989800520684781},2020-05-11,2020-05-29,1649,5.7,5.7,5.70
{61290989800520596602},2020-05-03,2020-05-25,1631,6.88,6.88,7.86
{61290989800520571777},2020-04-30,2020-05-25,1630,5.72,5.72,5.99
{61290989800521283853},2020-06-18,2020-07-03,1764,7.01,7.01,7.01
{61290989800520683203},2020-05-11,2020-05-29,1649,6.78,6.78,7.75
{61290989800521078312},2020-06-08,2020-07-03,1764,6.19,6.19,6.19
{61290989800521108934},2020-06-11,2020-06-28,1712,5.85,5.85,5.85
{61290989800520715362},2020-05-13,2020-07-03,1764,7.36,7.36,6.87
{61290989800520971539},2020-05-25,2020-06-12,1688,8.34,8.34,8.42
{61290989800520910163},2020-05-19,2020-06-05,1663,5.7,5.7,5.37
{61290989800521269598},2020-06-16,2020-07-03,1764,5.6,5.6,5.60
{61290989800520932080},2020-05-21,2020-06-28,1714,5.37,5.37,5.37
{61290989800520610537},2020-05-04,2020-05-25,1631,5.7,5.7,5.70
{61290989800521100686},2020-06-10,2020-06-28,1711,6.19,6.19,6.19
{61290989800521077810},2020-06-08,2020-06-28,1711,6.75,6.75,6.19
{61290989800521022292},2020-05-30,2020-06-19,1698,5.7,5.7,5.75
{61290989800520906470},2020-05-19,2020-05-29,1649,6.88,6.88,6.87
{61290989800520676403},2020-05-09,2020-05-29,1649,6.27,6.27,6.28
{61290989800520524025},2020-04-26,2020-05-25,1630,5.62,5.62,5.62
{61290989800521284829},2020-06-18,2020-07-03,1764,6.01,6.01,5.98
{61290989800520932295},2020-05-21,2020-06-05,1663,6.73,6.73,5.70
{61290989800520905756},2020-05-19,2020-06-28,1714,6.84,6.84,6.84
{61290989800520995108},2020-05-27,2020-06-12,1688,5.7,5.7,5.70
{61290989800520593588},2020-05-02,2020-05-25,1630,6.58,6.58,7.55
{61290989800520512640},2020-04-24,2020-05-08,1577,10.57,10.57,5.72
{61290989800520628099},2020-05-05,2020-05-25,1631,5.7,5.7,5.42
{61290989800520700962},2020-05-12,2020-05-29,1649,7.18,7.18,7.18
{61290989800520683173},2020-05-11,2020-05-25,1631,5.37,5.37,5.37
{61290989800520657556},2020-05-07,2020-05-25,1631,5.7,5.7,5.70
{61290989800520647069},2020-05-06,2020-05-29,1649,5.37,5.37,5.37
{61290989800521030228},2020-06-01,2020-06-28,1712,5.85,5.85,5.37
{61290989800520509183},2020-04-24,2020-05-08,1577,7.1,7.1,7.10
{61290989800521280579},2020-06-17,2020-07-03,1768,7.61,7.61,7.92
{61290989800520544511},2020-04-28,2020-05-25,1630,5.38,5.38,5.38
{61290989800520628693},2020-05-05,2020-05-29,1649,5.7,5.7,5.42
{61290989800520967341},2020-05-25,2020-06-12,1677,5.7,5.7,5.70
{61290989800520894555},2020-05-18,2020-06-05,1663,5.7,5.7,6.73
{61290989800520546812},2020-04-28,2020-05-25,1630,6.44,6.44,6.44
{61290989800520965774},2020-05-25,2020-06-12,1688,5.7,5.7,5.70
{61290989800520627573},2020-05-05,2020-05-25,1631,5.37,5.37,5.42
{61290989800520619196},2020-05-04,2020-05-25,1631,6.58,6.58,7.53
{61290989800520529549},2020-04-27,2020-05-25,1630,5.38,5.38,5.38
{61290989800520642477},2020-05-06,2020-05-25,1631,5.7,5.7,5.70
{61290989800521056723},2020-06-04,2020-06-19,1698,5.7,5.7,5.70
{61290989800521007312},2020-05-28,2020-06-19,1698,6.54,6.54,7.51
{61290989800520605304},2020-05-04,2020-05-25,1630,5.7,5.7,5.70
{61290989800520570862},2020-04-30,2020-05-25,1630,6.89,6.89,6.99
{61290989800521263381},2020-06-15,2020-07-03,1768,7.62,7.62,6.71
{61290989800520546065},2020-04-28,2020-05-25,1630,5.72,5.72,5.72
{61290989800520555722},2020-04-29,2020-05-29,1649,6.73,6.73,6.92
{61290989800520570497},2020-04-30,2020-05-25,1631,5.61,5.61,5.99
{61290989800520604048},2020-05-04,2020-05-29,1649,5.7,5.7,5.70
{61290989800520718981},2020-05-13,2020-05-29,1649,5.7,5.7,5.70
{61290989800521095272},2020-06-09,2020-06-28,1711,6.15,6.15,5.88
{61290989800520948333},2020-05-22,2020-06-05,1663,6.54,6.54,7.51
{61290989800520686594},2020-05-11,2020-05-25,1631,5.7,5.7,5.37
{61290989800520646932},2020-05-06,2020-05-25,1631,5.7,5.7,5.70
{61290989800521094756},2020-06-09,2020-06-28,1711,6.19,6.19,6.76
{61290989800521122015},2020-06-13,2020-07-03,1764,6.1,6.1,6.09
{61290989800521298321},2020-06-22,2020-07-03,1768,5.8,5.8,5.80
{61290989800520684408},2020-05-11,2020-05-29,1649,6.73,6.73,5.70
{61290989800520994774},2020-05-27,2020-06-12,1688,5.37,5.37,5.37
{61290989800520686631},2020-05-11,2020-05-29,1649,7.44,7.44,7.85
